YYMMDDHHMI(KST),STN(ID),TA(C),WD(deg),WS(m/s),RN_DAY(mm),RN_HR1(mm),HM(%),PA(hPa),PS(hPa)
201709271300,114,20.3,309.1,0.7,0.9,0.0,76.3,989.0,1006.1
201709271400,114,20.9,4.4,1.5,0.9,0.0,74.6,988.7,1005.7
201709271500,114,22.1,359.7,0.5,0.9,0.0,70.9,988.1,1005.0
201709271600,114,22.8,37.5,0.4,0.9,0.0,68.4,987.7,1004.5
201709271700,114,23.0,16.2,1.5,0.9,0.0,66.0,987.8,1004.6
201709271800,114,22.4,24.7,1.7,0.9,0.0,68.4,988.3,1005.2
201709271900,114,21.5,19.0,2.0,0.9,0.0,63.3,988.9,1005.9
201709272000,114,20.7,24.7,2.6,0.9,0.0,65.4,989.9,1006.9
201709272100,114,19.8,14.3,0.5,0.9,0.0,68.6,990.6,1007.7
201709272200,114,19.0,69.8,1.0,0.9,0.0,72.1,990.1,1007.2
201709272300,114,18.4,37.7,0.7,0.9,0.0,75.1,990.4,1007.5
201709280000,114,18.0,241.5,0.2,0.9,0.0,77.2,990.7,1007.9
201709280100,114,17.7,82.6,0.0,0.0,0.0,80.6,991.0,1008.2
201709280200,114,17.5,268.6,0.3,0.0,0.0,81.0,991.3,1008.5
201709280300,114,17.4,338.3,0.0,0.0,0.0,82.6,991.4,1008.6
201709280400,114,17.0,24.3,0.2,0.0,0.0,83.0,991.2,1008.5
201709280500,114,16.9,0.0,0.0,0.0,0.0,83.8,991.2,1008.5
201709280600,114,16.5,284.2,0.0,0.0,0.0,86.8,991.6,1008.9
201709280700,114,16.3,0.0,0.0,0.0,0.0,87.4,992.0,1009.4
201709280800,114,17.5,236.7,0.1,0.0,0.0,80.4,992.6,1009.8
201709280900,114,18.7,169.2,0.4,0.0,0.0,72.9,992.9,1010.0
201709281000,114,19.4,339.0,0.8,0.0,0.0,65.1,992.9,1010.0
201709281100,114,21.6,200.9,1.4,0.0,0.0,49.7,991.9,1008.9
